state;year;dopen;population;presdemvoteshlag1;demmv;demvoteshlag1;demvoteshlag2;demvoteshfor1;demvoteshfor2;demwinprv1;demwinprv2;dmidterm;dpresdem
Connecticut;1914;0;1233000;39;-8;;;46;36;;;1;1
Connecticut;1916;0;1294000;39;-4;42;;36;45;0;;0;1
Connecticut;1922;0;1431000;33;-7;36;46;36;46;0;0;1;0
Connecticut;1926;0;1531000;28;-28;45;36;46;48;0;0;1;0
Connecticut;1928;1;1577000;28;-8;36;45;48;52;0;0;0;0
Connecticut;1932;0;1637000;46;1;46;36;52;40;0;0;0;0
Connecticut;1934;0;1650000;47;3;48;46;40;53;1;0;1;1
Connecticut;1938;0;1684000;55;-3;52;48;53;52;1;1;1;1
Connecticut;1944;0;1778000;53;5;53;40;41;52;1;0;0;1
Connecticut;1952;0;2081000;48;-8;52;41;43;57;1;0;0;1
Connecticut;1956;0;2316000;44;-12;44;52;57;51;0;1;0;0
Connecticut;1958;0;2446000;36;15;43;44;51;65;0;0;1;0
Connecticut;1962;1;2647000;54;3;57;43;65;54;1;0;1;1
Connecticut;1964;0;2798000;54;29;51;57;54;34;1;1;0;1
Connecticut;1968;0;2964000;68;9;65;51;34;64;1;1;0;1
Connecticut;1970;1;3032217;49;-8;54;65;64;41;1;1;1;0
Connecticut;1974;0;3074047;40;29;34;54;41;56;0;1;1;0
Connecticut;1976;0;3083335;40;-17;64;34;56;46;1;0;0;0
Connecticut;1980;1;3107576;47;13;41;64;46;65;0;1;0;1
Connecticut;1982;0;3139013;38;-4;56;41;65;50;1;0;1;0
Connecticut;1986;0;3223740;39;30;46;56;50;59;0;1;1;0
Connecticut;1988;0;3271953;39;1;65;46;59;67;1;0;0;0
Connecticut;1992;0;3274997;47;21;50;65;67;65;1;1;0;0
Connecticut;1994;0;3268346;42;36;59;50;65;63;1;1;1;0
Connecticut;1998;0;3272563;53;33;67;59;63;65;1;1;1;0
Connecticut;2000;0;3405650;53;29;65;67;65;40;1;1;0;0
Connecticut;2004;0;3496094;56;34;63;65;40;55;1;1;0;0
Connecticut;2006;0;3517460;54;-11;65;63;55;;1;1;1;0
Connecticut;2010;1;3574097;61;12;40;65;;;0;1;1;0
Maine;1916;0;775000;39;-7;;;44;42;;;0;1
Maine;1918;0;760000;47;-11;46;;42;40;0;;1;1
Maine;1922;0;778000;33;-15;44;46;40;30;0;0;1;0
Maine;1928;0;797000;22;-39;40;42;39;50;0;0;0;0
Maine;1930;1;800000;31;-22;30;40;50;49;0;0;1;0
Maine;1934;0;829000;43;0;39;30;49;41;0;0;1;1
Maine;1936;0;840000;43;-1;50;39;41;33;0;0;0;1
Maine;1940;1;849000;42;-17;49;50;33;36;0;0;0;1
Maine;1942;0;839000;49;-33;41;49;36;29;0;0;1;1
Maine;1946;0;832000;47;-27;33;41;29;37;0;0;1;1
Maine;1948;1;878000;47;-43;36;33;37;41;0;0;0;1
Maine;1952;1;915000;42;-25;29;36;41;61;0;0;0;1
Maine;1954;0;927000;34;-17;37;29;61;38;0;0;1;0
Maine;1958;0;944000;29;22;41;37;38;67;0;0;1;0
Maine;1960;0;969000;29;-23;61;41;67;41;1;0;0;0
Maine;1964;0;993000;43;33;38;61;41;62;0;1;0;1
Maine;1966;0;999000;69;-18;67;38;62;53;1;0;1;1
Maine;1970;0;993722;55;23;41;67;53;60;0;1;1;0
Maine;1972;0;1034292;55;6;62;41;60;34;1;0;0;0
Maine;1978;0;1113566;48;-23;60;53;61;26;1;1;1;1
Maine;1984;0;1155635;42;-47;61;34;81;39;1;0;0;0
Maine;1988;0;1203840;39;63;26;61;39;36;0;1;0;0
Maine;1990;0;1231296;44;-23;81;26;36;44;1;0;1;0
Maine;1994;1;1237687;39;-24;39;81;44;31;0;1;1;0
Maine;1996;1;1241436;39;-5;36;39;31;42;0;0;0;0
Maine;2000;0;1274779;52;-38;44;36;42;21;0;0;0;0
Maine;2002;0;1295960;49;-17;31;44;21;39;0;0;1;0
Maine;2006;0;1323619;54;-53;42;31;39;;0;0;1;0
Maine;2008;0;1330509;54;-23;21;42;;;0;0;0;0
